,전문/일반,품목명,국가,포장단위,sales,year
50,전문,아달라트오로스정60,GERMANY,10TAB/7PTP/PACK,5084353,2017-01-01
51,전문,아달라트연질캅셀5밀리그램,GERMANY,10CAP/6PTP/PACK,87370,2017-01-01
52,전문,애드세트리스주,DENMARK,50MG/1VIAL/PACK,1889257,2017-01-01
53,전문,아뎀파스정2.5밀리그램,GERMANY,21TAB/2PTP/PACK,36385,2017-01-01
54,전문,아데노코주사,U.K,2ML/6VIAL/BOX,189586,2017-01-01
55,전문,아데포스엘주20밀리그램,JAPAN,2ML/AMP,75037,2017-01-01
56,전문,아드바그랍서방캡슐0.5밀리그램,NETHERLANDS,10CAP/5PTP/BOX,631985,2017-01-01
57,전문,아드바그랍서방캡슐1밀리그램,NETHERLANDS,10CAP/5PTP/BOX,6581644,2017-01-01
58,전문,아드바그랍서방캡슐5밀리그램,NETHERLANDS,10CAP/5PTP/BOX,1913965,2017-01-01
59,전문,아드반탄크림,AUSTRIA,15G/TUBE/PACK,514277,2017-01-01
60,전문,아드반탄연고,AUSTRIA,15G/TUBE,691922,2017-01-01
61,전문,애드베이트주,AUSTRIA,1000IU/SET,15646962,2017-01-01
62,전문,애드베이트주,AUSTRIA,1500IU/SET,11734068,2017-01-01
63,전문,애드베이트주,AUSTRIA,250IU/SET,456061,2017-01-01
64,전문,애드베이트주,AUSTRIA,250IU/SST,1875889,2017-01-01
65,전문,애드베이트주,AUSTRIA,500IU/SET,7085304,2017-01-01
66,전문,에리우스정,BELGIUM,10TAB/10PTP/PACK,4367,2017-01-01
67,전문,에리우스정,BELGIUM,15TAB/2PTP/PACK,425274,2017-01-01
68,전문,아피니토정10밀리그램,SWITZERLAND,10TAB/3PTP/PACK,7904545,2017-01-01
69,전문,아피니토정2.5밀리그램,SWITZERLAND,10TAB/3PTP/PACK,145344,2017-01-01
70,전문,아피니토정5밀리그램,SWITZERLAND,10TAB/3PTP/PACK,2211783,2017-01-01
71,전문,아그라스타트주,AUSTRALIA,50ML/VIAL,364292,2017-01-01
72,전문,아그리팔S1프리필드시린지,U.K,0.5ML/10PFS/BOX,1093402,2017-01-01
73,전문,아그릴린캡슐0.5밀리그램,USA,100CAP/1BOTTLE/CARTON,1202334,2017-01-01
74,전문,에어플루잘포스피로500,GERMANY,1INHALER/1PACK,16969,2017-01-01
75,전문,알카인0.5%점안액,BELGIUM,15ML/1BOTTLE/PACK,284668,2017-01-01
76,전문,알닥톤필름코팅정25밀리그램,U.K,10TAB/10PTP/CARTON,1021372,2017-01-01
77,전문,알다라크림,AUSTRALIA,250MG/12포/CARTON,348964,2017-01-01
78,전문,젠자임알두라자임주,USA,5ML/VIAL,3867639,2017-01-01
79,전문,알레센자캡슐150밀리그램,ITALY,8CAP/28PTP/PACK,1984509,2017-01-01
80,전문,알레기살드라이시럽,JAPAN,100G/BOTTLE,296872,2017-01-01
81,전문,알레기살점안액,JAPAN,5ML/10BOTTLE/BOX,59889,2017-01-01
82,전문,알림타주100밀리그램,USA,1VIAL/PACK,1046645,2017-01-01
83,전문,알림타주500밀리그램,USA,1VIAL/PACK,10189729,2017-01-01
84,전문,알리톡연질캡슐10밀리그램,SWITZERLAND,10CAP/3PTP/BOX,528284,2017-01-01
85,전문,알리톡연질캡슐30밀리그램,SWITZERLAND,10CAP/3PTP/BOX,1515749,2017-01-01
86,전문,알케란주,U.K,1VIAL/PACK,49009,2017-01-01
87,전문,알케란정,MAURITIUS,25TAB/BOTTLE,72864,2017-01-01
88,전문,알레락정5㎎,JAPAN,10TAB/10PTP/BOX,458123,2017-01-01
89,전문,알레락정5㎎,JAPAN,500TAB/1BOTTLE/BOX,1353372,2017-01-01
90,전문,알러쿨점안액0.1%,JAPAN,5ML/BOTTLE,1182925,2017-01-01
91,전문,스크랫치테스트용알러젠추출물,USA,5ML/VIAL,10279,2017-01-01
92,전문,치료용알러젠추출물주사,USA,10ML/BOTTLE,51996,2017-01-01
93,전문,알레고비트데포주사,GERMANY,3ML/2VIAL(A+B)/BOX,8042,2017-01-01
94,전문,알레고비트데포주사,GERMANY,3ML/2VIAL(B+B)/BOX,7655,2017-01-01
95,전문,알록시주,IRELAND,1.5ML/VIAL,3419789,2017-01-01
96,전문,알록시주,IRELAND,5ML/VIAL,4195038,2017-01-01
97,전문,알파간피점안액0.15%,USA,5ML/BOTTLE,4205382,2017-01-01
98,전문,알포린주1.5그램,ITALY,1.5G/10VIAL/PACK,116274,2017-01-01
99,전문,알포린주250밀리그램,ITALY,10VIAL/PACK,1940,2017-01-01
100,전문,알포린주750밀리그램,ITALY,10VIAL/PACK,62745,2017-01-01
101,전문,알타고연고,U.K,5G/1TUBE/PACK,99922,2017-01-01
102,전문,알베스코흡입제160,CANADA,1통/BOX(60회분무),104594,2017-01-01
103,전문,알베스코흡입제160,SWITZERLAND,1통/BOX(60회분무),337786,2017-01-01
104,전문,알베스코흡입제80,CANADA,1통/BOX(60회분무),15667,2017-01-01
105,전문,알베스코흡입제80,SWITZERLAND,1통/BOX(60회분무),50586,2017-01-01
106,전문,암비솜주사,U.K,50MG/10VIAL/BOX,6425734,2017-01-01
107,전문,암비솜주사,U.K,50MG/VIAL,4907286,2017-01-01
108,전문,아미노스테릴엔-헤파8%주,AUSTRIA,250ML/10VIAL/BOX,236856,2017-01-01
109,전문,아미노스테릴엔-헤파8%주,AUSTRIA,500ML/10VIAL/BOX,53,2017-01-01
110,전문,암피베실정5mg,SWITZERLAND,100TAB/1BOTTLE/PACK,181418,2017-01-01
111,전문,암피베실정5mg,SWITZERLAND,10TAB/3PTP/PACK,56500,2017-01-01
112,전문,안드리올테스토캡스연질캡슐,NETHERLANDS,6TAB/10PTP/PACK,666099,2017-01-01
113,전문,안드로쿨정,FRANCE,10TAB/5PTP/PACK,320432,2017-01-01
114,전문,아넥세이트주0.5밀리그램,GERMANY,5ML/5AMP/BOX,1051332,2017-01-01
115,전문,안젤릭정,GERMANY,28TAB/1PTP/PACK,5132130,2017-01-01
116,전문,애니오자임디디원,FRANCE,1L/12BOTTLE/BOX,171294,2017-01-01
117,전문,애니오자임디디원,FRANCE,5L/4BOTTLE/BOX,90065,2017-01-01
118,전문,아노로62.5엘립타,U.K,1INHALER/PACK(30DOSE),2399136,2017-01-01
119,전문,안자탁스주,AUSTRALIA,16.7ML/VIAL/PACK,20024,2017-01-01
120,전문,안자탁스주,AUSTRALIA,25ML/VIAL/PACK,42554,2017-01-01
121,전문,안자탁스주,AUSTRALIA,50ML/VIAL/PACK,86655,2017-01-01
122,전문,안자탁스주,AUSTRALIA,5ML/VIAL/PACK,12433,2017-01-01
123,전문,애피드라주솔로스타,GERMANY,3ML/5PEN/PACK,1683870,2017-01-01
124,전문,애피드라주바이알,GERMANY,10ML/1VIAL/PACK,132249,2017-01-01
125,전문,아라바정10밀리그램,GERMANY,30TAB/BOTTLE,1762204,2017-01-01
126,전문,아라바정20밀리그램,GERMANY,30TAB/1BOTTLE/PACK,1534111,2017-01-01
127,전문,알콕시아정30밀리그램,AUSTRALIA,10TAB/3PTP/PACK,1905142,2017-01-01
128,전문,아가메이트젤리,JAPAN,25G/21EA/UNIT,752546,2017-01-01
129,전문,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",AUSTRALIA,1080MCI/PACK,16315,2017-01-01
130,전문,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",AUSTRALIA,1620MCI/PACK,101238,2017-01-01
131,전문,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",AUSTRALIA,3240MCI/PACK,1578,2017-01-01
132,전문,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",AUSTRALIA,810MCI/PACK,15806,2017-01-01
133,전문,에이알아이요오드화나트륨(131I)캅셀3GBq,AUSTRALIA,3000MBQ(81MCI),373,2017-01-01
134,전문,에이알아이요오드화나트륨(131I)캅셀6GBq,AUSTRALIA,6000MBQ(162MCI),524,2017-01-01
135,전문,아리셉트구강용해필름10밀리그램(도네페질염산염),JAPAN,10MG/30PIECE/BOX,37202,2017-01-01
136,전문,아리셉트구강용해필름5밀리그램(도네페질염산염),JAPAN,5MG/30PIECE/BOX,30294,2017-01-01
137,전문,아리돌흡입용캡슐콤비팩,AUSTRALIA,19CAP/PACK,599712,2017-01-01
138,전문,아리미덱스정,U.K,14TAB/2PTP/PACK,4496524,2017-01-01
139,전문,아릭스트라주,AUSTRALIA,0.5ML/10PFS/PACK,39567,2017-01-01
140,전문,알레버트정,GERMANY,10TAB/10PTP/PACK,121379,2017-01-01
141,전문,아로마신정25mg,U.K,15TAB/2PTP/BOX,516197,2017-01-01
142,전문,아시트리주,INDIA,10ML/1VIAL/BOX,2500,2017-01-01
143,전문,아사콜관장액4그램/100밀리리터,PORTUGAL,4G/BOTTLE,299814,2017-01-01
144,전문,아스몬츄정4밀리그램,TURKEY,14TAB/2PTP/UNIT,47768,2017-01-01
145,전문,아스몬츄정5밀리그램,TURKEY,14TAB/2PTP/UNIT,50952,2017-01-01
146,전문,아스몬정10밀리그램,TURKEY,14TAB/2PTP/UNIT,258805,2017-01-01
147,전문,아타칸정32밀리그램,SWEDEN,15TAB/2PTP/PACK,552687,2017-01-01
148,전문,아타칸플러스정16/12.5mg,SWEDEN,100TAB/1BOTTLE/PACK,2377489,2017-01-01
149,전문,아타칸플러스정16/12.5mg,SWEDEN,30TAB/1BOTTLE/PACK,2752196,2017-01-01
150,전문,아토르빈정10밀리그램,SLOVENIA,10TAB/3PTP/PACK,846809,2017-01-01
151,전문,아토르빈정20밀리그램,SLOVENIA,10TAB/3PTP/PACK,76588,2017-01-01
152,전문,아토젯정10/10밀리그램,USA,10TAB/3PTP/PACK,8225573,2017-01-01
153,전문,아토젯정10/20밀리그램,USA,10TAB/3PTP/PACK,7765277,2017-01-01
154,전문,아토젯정10/40밀리그램,USA,10TAB/3PTP/PACK,1137418,2017-01-01
155,전문,에이티피주20밀리그램,JAPAN,2ML/50AMP/BOX,179810,2017-01-01
156,전문,아트로벤트흡입액유디비,FRANCE,2ML/20VIAL/PACK,1165333,2017-01-01
157,전문,오바지오필름코팅정14밀리그램,USA,14TAB/2PTP/PACK,1427811,2017-01-01
158,전문,아바미스나잘스프레이,U.K,1INHALER/PACK(10DOSE),2315118,2017-01-01
159,전문,아바스틴주,SWITZERLAND,16ML/1VIAL/PACK,35118011,2017-01-01
160,전문,아바스틴주,SWITZERLAND,4ML/1VIAL/PACK,21905810,2017-01-01
161,전문,아박심160U성인용주,FRANCE,0.5ML/1PFS/BOX,1176000,2017-01-01
162,전문,아박심160U성인용주,FRANCE,0.5ML/1PFS/BOX,5070170,2017-01-01
163,전문,아박심80U소아용주,FRANCE,0.5ML/1PFS/BOX,2614482,2017-01-01
164,전문,아벨록스주400밀리그램,GERMANY,250ML/1BOTTLE/PACK,3718600,2017-01-01
165,전문,아벨록스정400밀리그램,GERMANY,5TAB/6PTP/PACK,533690,2017-01-01
166,전문,아비텐압축형,USA,6PIECE/BOX(70X35X1MM),1411608,2017-01-01
167,전문,아보다트연질캡슐0.5밀리그램,U.K,10CAP/3PTP/PACK,8685866,2017-01-01
168,전문,아보넥스펜주,U.K,0.5ML/4PFS/PACK,531955,2017-01-01
169,전문,아질렉트정,GERMANY,10TAB/3PTP/PACK,9330511,2017-01-01
170,전문,아좁트점안액,U.K,5ML/1BOTTLE/PACK,415433,2017-01-01
171,전문,바라크루드정0.5밀리그램,USA,10TAB/3PTP/PACK,32660167,2017-01-01
172,전문,바라크루드정1.0밀리그램,USA,10TAB/3PTP/PACK,3821019,2017-01-01
173,전문,발긴발포과립,JAPAN,4G/500포/CARTON,113149,2017-01-01
174,전문,바리탑에치디현탁용분말,JAPAN,300G/BOTTLE,352308,2017-01-01
175,전문,베이사글라퀵펜100단위/밀리리터,AUSTRIA,3ML/5PEN/PACK,530361,2017-01-01
176,전문,바티도르점안액,USA,5ML/BOTTLE,200019,2017-01-01
177,전문,바슈롬플루비프로펜나트륨점안액0.03%,USA,2.5ML/1PEN/PACK,116052,2017-01-01
178,전문,박스터세보플루란흡입액,USA,250ML/6INHALER/BOX,24164,2017-01-01
179,전문,박스터메트로니다졸주사500mg,U.K,100ML/50BAG/BOX,63612,2017-01-01
180,전문,비브라운0.45%염화나트륨주사액,MALAYSIA,500ML/PACK,4855,2017-01-01
181,전문,비브라운0.9%생리식염주사액,MALAYSIA,1000ML/PACK,49308,2017-01-01
182,전문,비브라운0.9%생리식염주사액,MALAYSIA,100ML/PACK,367340,2017-01-01
183,전문,비브라운0.9%생리식염주사액,MALAYSIA,500ML/PACK,47190,2017-01-01
184,전문,비브라운10%포도당주사액,MALAYSIA,1000ML/PACK,3822,2017-01-01
185,전문,비브라운10%포도당주사액,MALAYSIA,500ML/PACK,2553,2017-01-01
186,전문,비브라운5%포도당주사액,MALAYSIA,1000ML/PACK,5837,2017-01-01
187,전문,비브라운5%포도당주사액,MALAYSIA,100ML/PACK,103687,2017-01-01
188,전문,비브라운5%포도당주사액,MALAYSIA,500ML/PACK,47443,2017-01-01
189,전문,비브라운5%포도당생리식염주사액,MALAYSIA,1000ML/PACK,35201,2017-01-01
190,전문,비브라운5%포도당생리식염주사액,MALAYSIA,500ML/PACK,26300,2017-01-01
191,전문,비브라운하트만액,MALAYSIA,1000ML/PACK,18652,2017-01-01
192,전문,비브라운하트만액,MALAYSIA,500ML/PACK,26018,2017-01-01
193,전문,비브라운멸균주사용증류수,MALAYSIA,500ML/PACK,15812,2017-01-01
194,전문,벨카이라주,USA,2ML/4VIAL/BOX,246753,2017-01-01
195,전문,베네픽스주,USA,5ML/VIAL/PACK,19119357,2017-01-01
196,전문,벤리스타주120밀리그램,U.K,1VIAL/PACK,67903,2017-01-01
197,전문,베리플라스트-피콤비세트1mL,GERMANY,1ML/4VIAL/SET,618096,2017-01-01
198,전문,베리플라스트-피콤비세트3mL,GERMANY,3ML/4VIAL/SET,1229746,2017-01-01
199,전문,베타페론주사,GERMANY,3ML/15VIAL/PACK,1357657,2017-01-01
200,전문,베타간점안액0.5%,IRELAND,5ML/BOTTLE,19544,2017-01-01
201,전문,베타미가서방정25밀리그램,NETHERLANDS,10TAB/1PTP/BOX,5400,2017-01-01
202,전문,베타미가서방정25밀리그램,NETHERLANDS,10TAB/9PTP/BOX,2602,2017-01-01
203,전문,베타미가서방정50밀리그램,NETHERLANDS,10TAB/9PTP/BOX,21354354,2017-01-01
204,전문,베톱틱점안액,BELGIUM,5ML/1BOTTLE/PACK,35,2017-01-01
205,전문,베톱틱-에스점안액,USA,5ML/1BOTTLE/PACK,889169,2017-01-01
206,전문,비백산,GERMANY,650G/16BAG/BOX(A형),350191,2017-01-01
207,전문,비백산,GERMANY,650G/16BAG/BOX(B형),7879295,2017-01-01
208,전문,비백산,GERMANY,900G/12BAG/BOX(A형),16872,2017-01-01
209,전문,비백산,GERMANY,900G/12BAG/BOX(B형),227834,2017-01-01
210,전문,바이카트산,SWEDEN,650G/10CAN/BOX,4997802,2017-01-01
211,전문,바이카트산,SWEDEN,720G/10CAN/BOX,129480,2017-01-01
212,전문,바이드라이산,FRANCE,750G/BOTTLE(원추형용기PP),407015,2017-01-01
213,전문,바이드라이산,FRANCE,750G/BOTTLE(원통형용기PE),45611,2017-01-01
214,전문,비노스토발포정,SWITZERLAND,4TAB/1ALU-ALU/BOX,268200,2017-01-01
215,전문,바이오캅지,EGYPT,650G/BOTTLE,445291,2017-01-01
216,전문,브레오신주(바이알),JAPAN,15MG/1VIAL/BOX,191160,2017-01-01
217,전문,블린사이토주35마이크로그램,USA,35MCG/1VIAL/PACK,1842612,2017-01-01
218,전문,본알파하이연고,JAPAN,10G/TUBE,112460,2017-01-01
219,전문,본왁스,BELGIUM,2.5GX24포/BOX,126043,2017-01-01
220,전문,본비바정150밀리그램,SWITZERLAND,1TAB/1PTP/PACK,1745798,2017-01-01
221,전문,본비바주,SWITZERLAND,3ML/1SYRINGE/PACK,3339560,2017-01-01
222,전문,부스트릭스프리필드시린지,BELGIUM,0.5ML/10PFS/PACK,4511092,2017-01-01
223,전문,부스트릭스프리필드시린지,BELGIUM,0.5ML/1PFS/PACK,1172436,2017-01-01
224,전문,보톡스주,IRELAND,100UNIT/1VIAL/PACK,2758423,2017-01-01
225,전문,보톡스주50단위,IRELAND,50UNIT/1VIAL/PACK,2458780,2017-01-01
226,전문,브레디닌정50밀리그램,JAPAN,10TAB/10PTP/BOX,538124,2017-01-01
227,전문,브렌시스50밀리그램프리필드시린지,KOREA,50MG/4PFS/CARTON,220478,2017-01-01
228,전문,브리디온주,NETHERLANDS,2ML/10VIAL/PACK,2627626,2017-01-01
229,전문,브릴린타정60밀리그램,SWEDEN,10TAB/6PTP/PACK,67346,2017-01-01
230,전문,브릴린타정90밀리그램,SWEDEN,14TAB/4PTP/PACK,2830793,2017-01-01
231,전문,브린텔릭스정10밀리그램,DENMARK,14TAB/2PTP/PACK,1683624,2017-01-01
232,전문,브린텔릭스정20밀리그램,DENMARK,14TAB/2PTP/PACK,663955,2017-01-01
233,전문,브린텔릭스정5밀리그램,DENMARK,14TAB/2PTP/PACK,720489,2017-01-01
234,전문,비에스에스플러스(BSSPLUS)액,USA,(480ML/BOTTLE)+(20ML/VIAL)/PACK,921044,2017-01-01
235,전문,비에스에스액15밀리리터,BELGIUM,15ML/1BOTTLE/PACK,38248,2017-01-01
236,전문,비에스에스액플라스틱백타입,CANADA,500ML/BAG,373444,2017-01-01
237,전문,비에스에스액,USA,500ML/1BOTTLE/PACK,350595,2017-01-01
238,전문,부페닐정500밀리그램,USA,250TAB/BOTTLE,165000,2017-01-01
239,전문,부설펙스주(바이알)(부설판),JAPAN,10ML/8VIAL/PACK,1489880,2017-01-01
240,전문,바이에타펜주10마이크로그램,U.K,1SYRINGE/PACK,15624,2017-01-01
241,전문,바이에타펜주5마이크로그램,U.K,1SYRINGE/PACK,13104,2017-01-01
242,전문,카듀엣정10/20밀리그램,USA,30TAB/BOTTLE,153615,2017-01-01
243,전문,카듀엣정5mg/10mg,USA,30TAB/BOTTLE,4559875,2017-01-01
244,전문,카듀엣정5mg/20mg,USA,30TAB/BOTTLE,876178,2017-01-01
245,전문,카듀엣정5mg/40mg,USA,30TAB/BOTTLE,181020,2017-01-01
246,전문,케릭스주사,BELGIUM,10ML/1VIAL/PACK,2024434,2017-01-01
247,전문,케릭스주사,BELGIUM,25ML/VIAL/PACK,277469,2017-01-01
248,전문,칼도롤주사액,USA,4ML/10VIAL/PACK,496650,2017-01-01
249,전문,칼도롤주사액,USA,4ML/1VIAL/PACK,794811,2017-01-01
250,전문,칼도롤주사액,USA,8ML/1VIAL/PACK,309990,2017-01-01
251,전문,칸시다스주70밀리그램,USA,10ML/1VIAL/PACK,456083,2017-01-01
252,전문,칸시다스주50밀리그램,U.K,50MG/VIAL/PACK,4027366,2017-01-01
253,전문,씨에이피디17밸런스복강투석액,GERMANY,2000ML/4BAG/BOX,373547,2017-01-01
254,전문,씨에이피디18밸런스복강투석액,GERMANY,2000ML/4BAG/BOX,18833,2017-01-01
255,전문,씨에이피디19밸런스복강투석액,GERMANY,2000ML/4BAG/BOX,144890,2017-01-01
256,전문,씨에이피디2밸런스복강투석액,GERMANY,1500ML/6BAG/BOX,564553,2017-01-01
257,전문,씨에이피디2밸런스복강투석액,GERMANY,2000ML/4BAG/BOX,8992535,2017-01-01
258,전문,씨에이피디2밸런스복강투석액,GERMANY,2500ML/4BAG/BOX,144344,2017-01-01
259,전문,씨에이피디2밸런스복강투석액,GERMANY,3000ML/4BAG/BOX,1798806,2017-01-01
260,전문,씨에이피디3밸런스복강투석액,GERMANY,1500ML/6BAG/BOX,39181,2017-01-01
261,전문,씨에이피디3밸런스복강투석액,GERMANY,2000ML/4BAG/BOX,752550,2017-01-01
262,전문,씨에이피디3밸런스복강투석액,GERMANY,2500ML/4BAG/BOX,18094,2017-01-01
263,전문,씨에이피디3밸런스복강투석액,GERMANY,3000ML/4BAG/BOX,80940,2017-01-01
264,전문,씨에이피디4밸런스복강투석액,GERMANY,1500ML/6BAG/BOX,101701,2017-01-01
265,전문,씨에이피디4밸런스복강투석액,GERMANY,2000ML/4BAG/BOX,3535987,2017-01-01
266,전문,씨에이피디4밸런스복강투석액,GERMANY,2500ML/4BAG/BOX,63593,2017-01-01
267,전문,씨에이피디4밸런스복강투석액,GERMANY,3000ML/4BAG/BOX,654539,2017-01-01
268,전문,카프렐사정100밀리그램,SWEDEN,30TAB/1PTP/PACK,367426,2017-01-01
269,전문,카프렐사정300밀리그램,SWEDEN,30TAB/1PTP/PACK,867695,2017-01-01
270,전문,캡션치료용캡슐,FRANCE,100MCI/PACK,1286,2017-01-01
271,전문,캡션치료용캡슐,FRANCE,30MCI/PACK,1871,2017-01-01
272,전문,캡션치료용캡슐,FRANCE,50MCI/PACK,5012,2017-01-01
273,전문,캡션치료용캡슐,FRANCE,80MCI/PACK,200,2017-01-01
274,전문,카바글루확산정200밀리그램,FRANCE,5TAB/BOTTLE,5880,2017-01-01
275,전문,카바글루확산정200밀리그램,FRANCE,60TAB/BOTTLE,134315,2017-01-01
276,전문,카보신주사,NETHERLANDS,45ML/1VIAL/PACK,25222,2017-01-01
277,전문,카보신주사,NETHERLANDS,5ML/1VIAL/PACK,7466,2017-01-01
278,전문,카디올라이트,PUERTO RICO,5VIAL/KIT,87200,2017-01-01
279,전문,카디옥산주500밀리그램,U.K,500MG/VIAL,1264438,2017-01-01
280,전문,카두라엑스엘서방정4mg,CHINA,10TAB/10PTP/CARTON,4143433,2017-01-01
281,전문,카나쿨린정,JAPAN,10TAB/10PTP/BOX,202550,2017-01-01
282,전문,카소덱스정,U.K,14TAB/2PTP/PACK,3959844,2017-01-01
283,전문,카티젤겔,AUSTRIA,12.5G/25TUBE/BOX,100931,2017-01-01
284,전문,카티젤겔,AUSTRIA,8.5G/25TUBE/BOX,63511,2017-01-01
285,전문,카버젝트주사10마이크로그램,BELGIUM,1VIAL/PACK,22445,2017-01-01
286,전문,카버젝트주사20마이크로그램,BELGIUM,1VIAL/PACK,181449,2017-01-01
287,전문,씨디.제박스,CHINA,0.5ML/10VIAL/BOX,1928410,2017-01-01
288,전문,쎄레브렉스캡슐100밀리그램,USA,100CAP/BOTTLE,312682,2017-01-01
289,전문,쎄레브렉스캡슐100밀리그램,USA,10CAP/3PTP/BOX,730329,2017-01-01
290,전문,쎄레브렉스캡슐200밀리그램,USA,100CAP/BOTTLE,4609003,2017-01-01
291,전문,쎄레브렉스캡슐200밀리그램,USA,10CAP/3PTP/BOX,1509176,2017-01-01
292,전문,쎄레브렉스캡슐400밀리그램,USA,10CAP/3PTP/BOX,56624,2017-01-01
