품명,한글명,포장단위(규격), 금액(US$),제조국,전문/일반
ABNOBA VISCUM F 20MG (ABNOBAVISCUMF-2) INJ.,압노바비스쿰에프20mg주사액,1ML/8AMP/BOX,"  435,099 ",GERMANY,전문
ABNOBA VISCUM F 2MG (ABNOBAVISCUMF-3) INJ.,압노바비스쿰에프2mg주사액,1ML/8AMP/BOX,"  112,049 ",GERMANY,전문
ABNOBA VISCUM Q 0.02MG (ABNOBAVISCUMQ-5) INJ.,압노바비스쿰큐0.02mg주사액,1ML/8AMP/BOX,"  62,354 ",GERMANY,전문
ABNOBA VISCUM Q 0.2MG (ABNOBAVISCUMQ-4) INJ.,압노바비스쿰큐0.2mg주사액,1ML/8AMP/BOX,"  67,298 ",GERMANY,전문
ABNOBA VISCUM Q 20MG (ABNOBAVISCUMQ-2) INJ.,압노바비스쿰큐20mg주사액,1ML/8AMP/BOX,"  127,996 ",GERMANY,전문
ABNOBA VISCUM Q 2MG (ABNOBAVISCUMQ-3) INJ.,압노바비스쿰큐2mg주사액,1ML/8AMP/BOX,"  50,773 ",GERMANY,전문
ABRAXANCE INJ,아브락산주,50ML/1VIAL/KIT,"  8,412,657 ",USA,전문
ACCORD DOCETAXEL INJ.,어코드도세탁셀주,4ML/VIAL,"  68,040 ",U.K,전문
ACERTIL 4MG TAB,아서틸정4밀리그램,30TAB/3PTP/BOX,"  2,967,212 ",CHINA,전문
ACERTIL 8MG TAB,아서틸정8밀리그램,15TAB/6PTP/BOX,"  1,592,302 ",FRANCE,전문
ACERTIL PLUS ARGININE TAB,아서틸플러스아르기닌정,30TAB/1BOTTLE/BOX,"  60,335 ",FRANCE,전문
ACTAIR (INITIAL-THERAPY),액트에어설하정초기치료단계,(3TAB/PTP+28TAB/PTP)/CARTON,"  36,488 ",AUSTRALIA,전문
ACTAIR (MAINTENANCE-THERAPY),액트에어설하정유지치료단계,30TAB/PTP/CARTON,"  157,562 ",AUSTRALIA,전문
ACTEMRA INJ,악템라주,10ML/VIAL,"  132,912 ",JAPAN,전문
ACTEMRA INJ,악템라주,20ML/VIAL,"  1,925,053 ",JAPAN,전문
ACTEMRA INJ,악템라주,4ML/VIAL,"  310,375 ",JAPAN,전문
ACTEMRA SC INJ 162MG,악템라피하주사162밀리그램,0.9ML/1AUTOINJECTOR/PACK,"  903,336 ",JAPAN,전문
ACTEMRA SC INJ 162MG,악템라피하주사162밀리그램,0.9ML/1PFS/PACK,"  948,941 ",JAPAN,전문
ACT-HIB INJ,악티브주,(1VIAL+0.5MLX1PFS)/BOX,"  259,743 ",FRANCE,전문
ACTILYSE INFUSION 20MG,액티라제주사20밀리그램,20MG/2VIAL/PACK,"  1,763,432 ",GERMANY,전문
ACTILYSE(R-TPA) INJ.,액티라제주사50밀리그램,50MG/1VIAL/PACK,"  2,092,919 ",GERMANY,전문
ACTONEL EC TAB 35MG (RISEDRONATE SODIUM),악토넬EC정35밀리그램,4TAB/1PTP/PACK,"  1,809,702 ",AUSTRALIA,전문
ACTONEL TABLET 150MG,악토넬정150밀리그램,1TAB/1PTP/PACK,"  902,320 ",PUERTO RICO,전문
ACTOS TAB 15MG,액토스정15밀리그램,14TAB/2PTP/PACK,"  3,407,244 ",DENMARK,전문
ACTOS TAB 30MG,액토스정30밀리그램,14TAB/2PTP/PACK,"  1,961,577 ",DENMARK,전문
ACTOSMET TAB.15/850MG,액토스메트정15/850밀리그램,14TAB/4PTP/PACK,"  1,392,153 ",DENMARK,전문
ACTOSRYL 30MG/2MG,액토스릴정30/2밀리그램,14TAB/2PTP/BOX,"  55,541 ",DENMARK,전문
ACTOSRYL 30MG/4MG,액토스릴정30/4밀리그램,14TAB/2PTP/BOX,"  61,487 ",DENMARK,전문
ACUPAN INJECTION SOLUTION,아큐판주사액,2ML/20AMP/BOX,"  1,614,937 ",FRANCE,전문
ACUVAIL OPHTHALMIC SOLUTION 0.45%,아큐베일점안액0.45%,0.4ML/30TUBE/BOX,"  801,979 ",USA,전문
ADACEL INJ,아다셀주,0.5ML/VIAL,"  4,376,782 ",CANADA,전문
ADALAT OROS 30MG TAB.,아달라트오로스정30,10TAB/7PTP/PACK,"  5,848,239 ",GERMANY,전문
ADALAT OROS 60MG TAB.,아달라트오로스정60,10TAB/7PTP/PACK,"  5,084,353 ",GERMANY,전문
ADALAT SOFT CAP 5MG,아달라트연질캅셀5밀리그램,10CAP/6PTP/PACK,"  87,370 ",GERMANY,전문
ADCETRIS INJ,애드세트리스주,50MG/1VIAL/PACK,"  1,889,257 ",DENMARK,전문
ADEMPAS TAB. 2.5MG,아뎀파스정2.5밀리그램,21TAB/2PTP/PACK,"  36,385 ",GERMANY,전문
ADENOCOR INJ.,아데노코주사,2ML/6VIAL/BOX,"  189,586 ",U.K,전문
ADETPHOS-L INJ. 20MG,아데포스엘주20밀리그램,2ML/AMP,"  75,037 ",JAPAN,전문
ADVAGRAF(TACROLIMUS) 0.5MG CAP.,아드바그랍서방캡슐0.5밀리그램,10CAP/5PTP/BOX,"  631,985 ",NETHERLANDS,전문
ADVAGRAF(TACROLIMUS) 1MG CAP.,아드바그랍서방캡슐1밀리그램,10CAP/5PTP/BOX,"  6,581,644 ",NETHERLANDS,전문
ADVAGRAF(TACROLIMUS) 5MG CAP.,아드바그랍서방캡슐5밀리그램,10CAP/5PTP/BOX,"  1,913,965 ",NETHERLANDS,전문
ADVANTAN CREAM,아드반탄크림,15G/TUBE/PACK,"  514,277 ",AUSTRIA,전문
ADVANTAN OINTMENT,아드반탄연고,15G/TUBE,"  691,922 ",AUSTRIA,전문
ADVATE INJ,애드베이트주,1000IU/SET,"  15,646,962 ",AUSTRIA,전문
ADVATE INJ,애드베이트주,1500IU/SET,"  11,734,068 ",AUSTRIA,전문
ADVATE INJ,애드베이트주,250IU/SET,"  456,061 ",AUSTRIA,전문
ADVATE INJ,애드베이트주,250IU/SST,"  1,875,889 ",AUSTRIA,전문
ADVATE INJ,애드베이트주,500IU/SET,"  7,085,304 ",AUSTRIA,전문
AERIUS TAB,에리우스정,10TAB/10PTP/PACK,"  4,367 ",BELGIUM,전문
AERIUS TAB,에리우스정,15TAB/2PTP/PACK,"  425,274 ",BELGIUM,전문
AFINITOR TABLET 10MG,아피니토정10밀리그램,10TAB/3PTP/PACK,"  7,904,545 ",SWITZERLAND,전문
AFINITOR TABLET 2.5MG,아피니토정2.5밀리그램,10TAB/3PTP/PACK,"  145,344 ",SWITZERLAND,전문
AFINITOR TABLET 5MG,아피니토정5밀리그램,10TAB/3PTP/PACK,"  2,211,783 ",SWITZERLAND,전문
AGGRASTAT INJ,아그라스타트주,50ML/VIAL,"  364,292 ",AUSTRALIA,전문
AGRIPPAL S1 PREFILLED SYRINGE,아그리팔S1프리필드시린지,0.5ML/10PFS/BOX,"  1,093,402 ",U.K,전문
AGRYLIN CAP 0.5MG,아그릴린캡슐0.5밀리그램,100CAP/1BOTTLE/CARTON,"  1,202,334 ",USA,전문
AIRFLUSAL FORSPIRO 500,에어플루잘포스피로500,1INHALER/1PACK,"  16,969 ",GERMANY,전문
ALCAINE 0.5% STERILE OPHTHALMIC SOLUTION,알카인0.5%점안액,15ML/1BOTTLE/PACK,"  284,668 ",BELGIUM,전문
ALDACTONE FCT 25MG,알닥톤필름코팅정25밀리그램,10TAB/10PTP/CARTON,"  1,021,372 ",U.K,전문
ALDARA CREAM,알다라크림,250MG/12포/CARTON,"  348,964 ",AUSTRALIA,전문
ALDURAZYME INJ,젠자임알두라자임주,5ML/VIAL,"  3,867,639 ",USA,전문
ALECENSA CAPSULES 150MG,알레센자캡슐150밀리그램,8CAP/28PTP/PACK,"  1,984,509 ",ITALY,전문
ALEGYSAL DRY SYRYP,알레기살드라이시럽,100G/BOTTLE,"  296,872 ",JAPAN,전문
ALEGYSAL OPHTHALMIC SOLUTION,알레기살점안액,5ML/10BOTTLE/BOX,"  59,889 ",JAPAN,전문
ALIMTA INJ 100MG,알림타주100밀리그램,1VIAL/PACK,"  1,046,645 ",USA,전문
ALIMTA INJ 500MG,알림타주500밀리그램,1VIAL/PACK,"  10,189,729 ",USA,전문
ALITOC SOFT CAP 10MG,알리톡연질캡슐10밀리그램,10CAP/3PTP/BOX,"  528,284 ",SWITZERLAND,전문
ALITOC SOFT CAP 30MG,알리톡연질캡슐30밀리그램,10CAP/3PTP/BOX,"  1,515,749 ",SWITZERLAND,전문
ALKERAN INJ.,알케란주,1VIAL/PACK,"  49,009 ",U.K,전문
ALKERAN TAB.,알케란정,25TAB/BOTTLE,"  72,864 ",MAURITIUS,전문
ALLELOCK TAB 5MG,알레락정5㎎,10TAB/10PTP/BOX,"  458,123 ",JAPAN,전문
ALLELOCK TAB 5MG,알레락정5㎎,500TAB/1BOTTLE/BOX,"  1,353,372 ",JAPAN,전문
ALLERCOOL OPHTHALMIC SOLUTION 0.1%,알러쿨점안액0.1%,5ML/BOTTLE,"  1,182,925 ",JAPAN,전문
ALLERGENIC EXTRACTS FOR SCRATCHTEST,스크랫치테스트용알러젠추출물,5ML/VIAL,"  10,279 ",USA,전문
ALLERGENIC EXTRACTS FOR TREATMENT,치료용알러젠추출물주사,10ML/BOTTLE,"  51,996 ",USA,전문
ALLERGOVIT DEPOT INJ.(A+B),알레고비트데포주사,3ML/2VIAL(A+B)/BOX,"  8,042 ",GERMANY,전문
ALLERGOVIT DEPOT INJ.(B+B),알레고비트데포주사,3ML/2VIAL(B+B)/BOX,"  7,655 ",GERMANY,전문
ALOXI INJECTION,알록시주,1.5ML/VIAL,"  3,419,789 ",IRELAND,전문
ALOXI INJECTION,알록시주,5ML/VIAL,"  4,195,038 ",IRELAND,전문
ALPHAGAN P OPHTHALMIC SOLUTION 0.15%,알파간피점안액0.15%,5ML/BOTTLE,"  4,205,382 ",USA,전문
ALPORIN INJ 1.5G,알포린주1.5그램,1.5G/10VIAL/PACK,"  116,274 ",ITALY,전문
ALPORIN INJ 250MG,알포린주250밀리그램,10VIAL/PACK,"  1,940 ",ITALY,전문
ALPORIN INJ 750MG,알포린주750밀리그램,10VIAL/PACK,"  62,745 ",ITALY,전문
ALTAGO OINTMENT,알타고연고,5G/1TUBE/PACK,"  99,922 ",U.K,전문
ALVESCO INHALATION 160,알베스코흡입제160,1통/BOX(60회분무),"  104,594 ",CANADA,전문
ALVESCO INHALATION 160,알베스코흡입제160,1통/BOX(60회분무),"  337,786 ",SWITZERLAND,전문
ALVESCO INHALATION 80,알베스코흡입제80,1통/BOX(60회분무),"  15,667 ",CANADA,전문
ALVESCO INHALATION 80,알베스코흡입제80,1통/BOX(60회분무),"  50,586 ",SWITZERLAND,전문
AMBISOME INJ,암비솜주사,50MG/10VIAL/BOX,"  6,425,734 ",U.K,전문
AMBISOME INJ,암비솜주사,50MG/VIAL,"  4,907,286 ",U.K,전문
AMINOSTERIL N-HEPA 8% INJ,아미노스테릴엔-헤파8%주,250ML/10VIAL/BOX,"  236,856 ",AUSTRIA,전문
AMINOSTERIL N-HEPA 8% INJ,아미노스테릴엔-헤파8%주,500ML/10VIAL/BOX,  53 ,AUSTRIA,전문
AMPIBESYL TAB 5MG (AMLODIPINE BESYLATE),암피베실정5mg,100TAB/1BOTTLE/PACK,"  181,418 ",SWITZERLAND,전문
AMPIBESYL TAB 5MG (AMLODIPINE BESYLATE),암피베실정5mg,10TAB/3PTP/PACK,"  56,500 ",SWITZERLAND,전문
ANDRIOL TESTOCAPS,안드리올테스토캡스연질캡슐,6TAB/10PTP/PACK,"  666,099 ",NETHERLANDS,전문
ANDROCUR TAB.,안드로쿨정,10TAB/5PTP/PACK,"  320,432 ",FRANCE,전문
ANEXATE INJECTION 0.5MG,아넥세이트주0.5밀리그램,5ML/5AMP/BOX,"  1,051,332 ",GERMANY,전문
ANGELIQ TAB,안젤릭정,28TAB/1PTP/PACK,"  5,132,130 ",GERMANY,전문
ANIOSYME DD1,애니오자임디디원,1L/12BOTTLE/BOX,"  171,294 ",FRANCE,전문
ANIOSYME DD1,애니오자임디디원,5L/4BOTTLE/BOX,"  90,065 ",FRANCE,전문
ANORO 62.5 ELLIPTA,아노로62.5엘립타,1INHALER/PACK(30DOSE),"  2,399,136 ",U.K,전문
ANZATAX INJ,안자탁스주,16.7ML/VIAL/PACK,"  20,024 ",AUSTRALIA,전문
ANZATAX INJ,안자탁스주,25ML/VIAL/PACK,"  42,554 ",AUSTRALIA,전문
ANZATAX INJ,안자탁스주,50ML/VIAL/PACK,"  86,655 ",AUSTRALIA,전문
ANZATAX INJ,안자탁스주,5ML/VIAL/PACK,"  12,433 ",AUSTRALIA,전문
APIDRA INJECTION SOLOSTAR (INSULIN GLULISINE),애피드라주솔로스타,3ML/5PEN/PACK,"  1,683,870 ",GERMANY,전문
APIDRA INJECTION VIALS (INSULIN GLULISINE),애피드라주바이알,10ML/1VIAL/PACK,"  132,249 ",GERMANY,전문
ARAVA 10MG TABLETS,아라바정10밀리그램,30TAB/BOTTLE,"  1,762,204 ",GERMANY,전문
ARAVA 20MG TABLETS,아라바정20밀리그램,30TAB/1BOTTLE/PACK,"  1,534,111 ",GERMANY,전문
ARCOXIA TAB 30MG,알콕시아정30밀리그램,10TAB/3PTP/PACK,"  1,905,142 ",AUSTRALIA,전문
ARGAMATE JELLY,아가메이트젤리,25G/21EA/UNIT,"  752,546 ",JAPAN,전문
ARI MOLYBDENUM(99MO)/TECHNETIUM(99MTC) GENERATOR,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",1080MCI/PACK,"  16,315 ",AUSTRALIA,전문
ARI MOLYBDENUM(99MO)/TECHNETIUM(99MTC) GENERATOR,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",1620MCI/PACK,"  101,238 ",AUSTRALIA,전문
ARI MOLYBDENUM(99MO)/TECHNETIUM(99MTC) GENERATOR,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",3240MCI/PACK,"  1,578 ",AUSTRALIA,전문
ARI MOLYBDENUM(99MO)/TECHNETIUM(99MTC) GENERATOR,"에이알아이몰리부덴,테크네튬제너레이터(과테크네튬산나트륨(99mTc)주사액제너레이터)",810MCI/PACK,"  15,806 ",AUSTRALIA,전문
ARI SODIUM IODIDE (131I) CAPSULES,에이알아이요오드화나트륨(131I)캅셀3GBq,3000MBQ(81MCI),  373 ,AUSTRALIA,전문
ARI SODIUM IODIDE (131I) CAPSULES,에이알아이요오드화나트륨(131I)캅셀6GBq,6000MBQ(162MCI),  524 ,AUSTRALIA,전문
ARICEPT ODF 10MG,아리셉트구강용해필름10밀리그램(도네페질염산염),10MG/30PIECE/BOX,"  37,202 ",JAPAN,전문
ARICEPT ODF 5MG,아리셉트구강용해필름5밀리그램(도네페질염산염),5MG/30PIECE/BOX,"  30,294 ",JAPAN,전문
ARIDOL INHALATION CAPSULES COMBIPACK,아리돌흡입용캡슐콤비팩,19CAP/PACK,"  599,712 ",AUSTRALIA,전문
ARIMIDEX TABLETS,아리미덱스정,14TAB/2PTP/PACK,"  4,496,524 ",U.K,전문
ARIXTRA INJ.,아릭스트라주,0.5ML/10PFS/PACK,"  39,567 ",AUSTRALIA,전문
ARLEVERT TABLETS,알레버트정,10TAB/10PTP/PACK,"  121,379 ",GERMANY,전문
AROMASIN 25MG TABLETS,아로마신정25mg,15TAB/2PTP/BOX,"  516,197 ",U.K,전문
ARSITRI INJ,아시트리주,10ML/1VIAL/BOX,"  2,500 ",INDIA,전문
ASACOL ENEMA SOLUTION 4.0G/100ML,아사콜관장액4그램/100밀리리터,4G/BOTTLE,"  299,814 ",PORTUGAL,전문
ASTHMON CHEWABLE TABLET 4MG,아스몬츄정4밀리그램,14TAB/2PTP/UNIT,"  47,768 ",TURKEY,전문
ASTHMON CHEWABLE TABLET 5MG,아스몬츄정5밀리그램,14TAB/2PTP/UNIT,"  50,952 ",TURKEY,전문
ASTHMON TABLET 10MG,아스몬정10밀리그램,14TAB/2PTP/UNIT,"  258,805 ",TURKEY,전문
ATACAND 32MG TABLETS,아타칸정32밀리그램,15TAB/2PTP/PACK,"  552,687 ",SWEDEN,전문
ATACAND PLUS TABLETS 16/12.5MG,아타칸플러스정16/12.5mg,100TAB/1BOTTLE/PACK,"  2,377,489 ",SWEDEN,전문
ATACAND PLUS TABLETS 16/12.5MG,아타칸플러스정16/12.5mg,30TAB/1BOTTLE/PACK,"  2,752,196 ",SWEDEN,전문
ATORVIN TAB 10MG,아토르빈정10밀리그램,10TAB/3PTP/PACK,"  846,809 ",SLOVENIA,전문
ATORVIN TAB 20MG,아토르빈정20밀리그램,10TAB/3PTP/PACK,"  76,588 ",SLOVENIA,전문
ATOZET TAB 10/10MG,아토젯정10/10밀리그램,10TAB/3PTP/PACK,"  8,225,573 ",USA,전문
ATOZET TAB 10/20MG,아토젯정10/20밀리그램,10TAB/3PTP/PACK,"  7,765,277 ",USA,전문
ATOZET TAB 10/40MG,아토젯정10/40밀리그램,10TAB/3PTP/PACK,"  1,137,418 ",USA,전문
ATP INJECTION 20MG,에이티피주20밀리그램,2ML/50AMP/BOX,"  179,810 ",JAPAN,전문
ATROVENT INHALAT.SOLN.UDB,아트로벤트흡입액유디비,2ML/20VIAL/PACK,"  1,165,333 ",FRANCE,전문
AUBAGIO FC TAB 14MG,오바지오필름코팅정14밀리그램,14TAB/2PTP/PACK,"  1,427,811 ",USA,전문
AVAMYS NASAL SPRAY,아바미스나잘스프레이,1INHALER/PACK(10DOSE),"  2,315,118 ",U.K,전문
AVASTIN INJ.,아바스틴주,16ML/1VIAL/PACK,"  35,118,011 ",SWITZERLAND,전문
AVASTIN INJ.,아바스틴주,4ML/1VIAL/PACK,"  21,905,810 ",SWITZERLAND,전문
AVAXIM 160 ADULT INJ,아박심160U성인용주,0.5ML/1PFS/BOX,"  1,176,000 ",FRANCE,전문
AVAXIM 160U ADULT INJ,아박심160U성인용주,0.5ML/1PFS/BOX,"  5,070,170 ",FRANCE,전문
AVAXIM 80U PEDIATRIC,아박심80U소아용주,0.5ML/1PFS/BOX,"  2,614,482 ",FRANCE,전문
AVELOX INJ. 400MG,아벨록스주400밀리그램,250ML/1BOTTLE/PACK,"  3,718,600 ",GERMANY,전문
AVELOX TABLET 400MG,아벨록스정400밀리그램,5TAB/6PTP/PACK,"  533,690 ",GERMANY,전문
AVITENE WEB,아비텐압축형,6PIECE/BOX(70X35X1MM),"  1,411,608 ",USA,전문
AVODART SOFT CAPSULE 0.5MG,아보다트연질캡슐0.5밀리그램,10CAP/3PTP/PACK,"  8,685,866 ",U.K,전문
AVONEX PEN INJ,아보넥스펜주,0.5ML/4PFS/PACK,"  531,955 ",U.K,전문
AZILECT TABLET,아질렉트정,10TAB/3PTP/PACK,"  9,330,511 ",GERMANY,전문
"AZOPT EYE DROPS, SUSPENSION",아좁트점안액,5ML/1BOTTLE/PACK,"  415,433 ",U.K,전문
BARACLUDE TAB 0.5MG,바라크루드정0.5밀리그램,10TAB/3PTP/PACK,"  32,660,167 ",USA,전문
BARACLUDE TAB 1MG,바라크루드정1.0밀리그램,10TAB/3PTP/PACK,"  3,821,019 ",USA,전문
BARGIN FOAMING GRANULES,발긴발포과립,4G/500포/CARTON,"  113,149 ",JAPAN,전문
BARITOP HD POWDER FOR SUSPENSIONS,바리탑에치디현탁용분말,300G/BOTTLE,"  352,308 ",JAPAN,전문
BASAGLAR INSULIN KWIKPEN 100U/ML X 5PEN KO,베이사글라퀵펜100단위/밀리리터,3ML/5PEN/PACK,"  530,361 ",AUSTRIA,전문
BATIDOR EYE DROPS,바티도르점안액,5ML/BOTTLE,"  200,019 ",USA,전문
BAUSCH LOMB FLURBIPROFEN STERILE OPHTHALMIC SOLUTION 0.03%,바슈롬플루비프로펜나트륨점안액0.03%,2.5ML/1PEN/PACK,"  116,052 ",USA,전문
BAXTER SEVOFLURANE INHALATION SOLUTION,박스터세보플루란흡입액,250ML/6INHALER/BOX,"  24,164 ",USA,전문
BAXTERMETRONIDAZOLE INJ 500MG,박스터메트로니다졸주사500mg,100ML/50BAG/BOX,"  63,612 ",U.K,전문
BBRAUN 0.45% SODIUM CHLORIDEINFUSION,비브라운0.45%염화나트륨주사액,500ML/PACK,"  4,855 ",MALAYSIA,전문
BBRAUN 0.9% SODIUM CHLORIDE INJ.,비브라운0.9%생리식염주사액,1000ML/PACK,"  49,308 ",MALAYSIA,전문
BBRAUN 0.9% SODIUM CHLORIDE INJ.,비브라운0.9%생리식염주사액,100ML/PACK,"  367,340 ",MALAYSIA,전문
BBRAUN 0.9% SODIUM CHLORIDE INJ.,비브라운0.9%생리식염주사액,500ML/PACK,"  47,190 ",MALAYSIA,전문
BBRAUN 10% GLUCOSE INJECTION,비브라운10%포도당주사액,1000ML/PACK,"  3,822 ",MALAYSIA,전문
BBRAUN 10% GLUCOSE INJECTION,비브라운10%포도당주사액,500ML/PACK,"  2,553 ",MALAYSIA,전문
BBRAUN 5% GLUCOSE INJECTION,비브라운5%포도당주사액,1000ML/PACK,"  5,837 ",MALAYSIA,전문
BBRAUN 5% GLUCOSE INJECTION,비브라운5%포도당주사액,100ML/PACK,"  103,687 ",MALAYSIA,전문
BBRAUN 5% GLUCOSE INJECTION,비브라운5%포도당주사액,500ML/PACK,"  47,443 ",MALAYSIA,전문
BBRAUN 5% GLUCOSE SODIUM CHLORIDEINJ.,비브라운5%포도당생리식염주사액,1000ML/PACK,"  35,201 ",MALAYSIA,전문
BBRAUN 5% GLUCOSE SODIUM CHLORIDEINJ.,비브라운5%포도당생리식염주사액,500ML/PACK,"  26,300 ",MALAYSIA,전문
BBRAUN COMPOUND SODIUM LACTATE,비브라운하트만액,1000ML/PACK,"  18,652 ",MALAYSIA,전문
BBRAUN COMPOUND SODIUM LACTATE,비브라운하트만액,500ML/PACK,"  26,018 ",MALAYSIA,전문
BBRAUN WATER FOR INJECTION,비브라운멸균주사용증류수,500ML/PACK,"  15,812 ",MALAYSIA,전문
BELKYLA INJ(DEOXYCHOLIC ACID),벨카이라주,2ML/4VIAL/BOX,"  246,753 ",USA,전문
BENEFIX INJECTION,베네픽스주,5ML/VIAL/PACK,"  19,119,357 ",USA,전문
BENLYSTA INJ 120MG,벤리스타주120밀리그램,1VIAL/PACK,"  67,903 ",U.K,전문
BERIPLAST P COMBISET 1ML,베리플라스트-피콤비세트1mL,1ML/4VIAL/SET,"  618,096 ",GERMANY,전문
BERIPLAST P COMBISET 3ML,베리플라스트-피콤비세트3mL,3ML/4VIAL/SET,"  1,229,746 ",GERMANY,전문
BETAFERON INJ.,베타페론주사,3ML/15VIAL/PACK,"  1,357,657 ",GERMANY,전문
BETAGAN OPHTHALMIC SOLUTION 0.5%,베타간점안액0.5%,5ML/BOTTLE,"  19,544 ",IRELAND,전문
BETMIGA PROLONGED RELEASE TAB 25MG,베타미가서방정25밀리그램,10TAB/1PTP/BOX,"  5,400 ",NETHERLANDS,전문
BETMIGA PROLONGED RELEASE TAB 25MG,베타미가서방정25밀리그램,10TAB/9PTP/BOX,"  2,602 ",NETHERLANDS,전문
BETMIGA PROLONGED RELEASE TAB 50MG,베타미가서방정50밀리그램,10TAB/9PTP/BOX,"  21,354,354 ",NETHERLANDS,전문
BETOPTIC STERILE OPHTHALMIC SOLUTION,베톱틱점안액,5ML/1BOTTLE/PACK,  35 ,BELGIUM,전문
BETOPTIC-S STERILE OPHTHALMIC SUSPENSION,베톱틱-에스점안액,5ML/1BOTTLE/PACK,"  889,169 ",USA,전문
BIBAG SAN,비백산,650G/16BAG/BOX(A형),"  350,191 ",GERMANY,전문
BIBAG SAN,비백산,650G/16BAG/BOX(B형),"  7,879,295 ",GERMANY,전문
BIBAG SAN,비백산,900G/12BAG/BOX(A형),"  16,872 ",GERMANY,전문
BIBAG SAN,비백산,900G/12BAG/BOX(B형),"  227,834 ",GERMANY,전문
BICART (SODIUM BICARBONATE),바이카트산,650G/10CAN/BOX,"  4,997,802 ",SWEDEN,전문
BICART (SODIUM BICARBONATE),바이카트산,720G/10CAN/BOX,"  129,480 ",SWEDEN,전문
BIDRY-SOLUCART PLUS,바이드라이산,750G/BOTTLE(원추형용기PP),"  407,015 ",FRANCE,전문
BIDRY,바이드라이산,750G/BOTTLE(원통형용기PE),"  45,611 ",FRANCE,전문
BINOSTO EFFERVESCENT TABLETS,비노스토발포정,4TAB/1ALU-ALU/BOX,"  268,200 ",SWITZERLAND,전문
BIO CARB G,바이오캅지,650G/BOTTLE,"  445,291 ",EGYPT,전문
BLEOCIN INJ(VIAL),브레오신주(바이알),15MG/1VIAL/BOX,"  191,160 ",JAPAN,전문
BLINCYTO INJ.35MCG,블린사이토주35마이크로그램,35MCG/1VIAL/PACK,"  1,842,612 ",USA,전문
BONALFA HIGH OINTMENT,본알파하이연고,10G/TUBE,"  112,460 ",JAPAN,전문
BONE WAX,본왁스,2.5GX24포/BOX,"  126,043 ",BELGIUM,전문
