,품목기준코드,품목명,업체명,품목허가일자,업종,품목일련번호,전문/일반,분류명,품목허가번호,주성분,주성분수,신고/허가,취하일자,취하구분,이미지,업일련번호,업허가번호,보험코드
16,199906999,쓰리엠스테리-가스EO카트리지,한국쓰리엠(주),19990413,의약품 및 의약외품 수입업,199906999,일반의약품,[07320]방역용 살균소독제,45,산화에칠렌,1,신고,,정상,,20161827,262,
17,200005554,베타덱스액(글루타랄콘센트레이트),구미제약(주),20001226,의약품,200005554,일반의약품,[07320]방역용 살균소독제,2,글루타랄콘센트레이트,1,신고,,정상,,20000006,2128,
18,200008757,싸이덱스오피에이액(오토프탈알데하이드),에이에스피코리아(유),20001204,의약품 및 의약외품 수입업,200008757,전문의약품,[07390]기타의 공중위생용약,1,O-프탈알데하이드,1,허가,,정상,,20207865,876,
19,200104943,하이겐-10(산화에칠렌),아시아케미칼(주),20010518,의약품,200104943,일반의약품,[07320]방역용 살균소독제,4,산화에칠렌,1,허가,,정상,,19870019,1679,
20,200104944,하이겐-피(산화에칠렌),아시아케미칼(주),20010518,의약품,200104944,일반의약품,[07320]방역용 살균소독제,5,산화에칠렌,1,허가,,정상,,19870019,1679,
21,200109042,스테리스-20액(35%과초산),(주)테크노랜드,20010206,의약품 및 의약외품 수입업,200109042,전문의약품,[07390]기타의 공중위생용약,2,35%과초산,1,허가,20210731,폐업,,20162978,564,
22,200300341,파인크린졸액(글루타랄콘센트레이트),(주)퍼슨,20031113,의약품,200300341,일반의약품,[07320]방역용 살균소독제,31,글루타랄콘센트레이트,1,신고,,정상,,19570002,1338,
23,200301841,크레니졸액(글루타랄콘센트리이트),제이더블유신약(주),20030516,의약품,200301841,일반의약품,[07320]방역용 살균소독제,131,글루타랄콘센트레이트(글루타랄알데하이드로서 0ㆍ3그람),1,신고,,정상,,19560016,1325,
24,200304353,하이겐-에이치에프(산화에틸렌),아시아케미칼(주),20030516,의약품,200304353,일반의약품,[07320]방역용 살균소독제,7,산화에틸렌,1,신고,,정상,,19870019,1679,
25,200404293,큐앤큐이지덱시액2%(글루타랄콘세트레이트),큐앤큐팜(주),20040119,의약품,200404293,일반의약품,[07320]방역용 살균소독제,8,글루타랄콘센트레이트,1,신고,,정상,,19990023,2079,
26,200505932,다네옥시12(산화에칠렌),단일시스켐(주),20050113,의약품,200505932,일반의약품,[07320]방역용 살균소독제,2,산화에칠렌,1,신고,,정상,,19870020,1686,
27,200505933,다네옥시20(산화에칠렌),단일시스켐(주),20050113,의약품,200505933,일반의약품,[07320]방역용 살균소독제,3,산화에칠렌,1,신고,,정상,,19870020,1686,
28,200511464,아세사이드액(저농도과초산평형혼합물),(주)사라야코리아,20050319,의약품 및 의약외품 수입업,200511464,일반의약품,[07390]기타의 공중위생용약,2,저농도과초산평형혼합물,1,허가,,정상,,20162665,443,
29,200600743,파워크린액(글루타랄콘센트레이트),구미제약(주),20060216,의약품,200600743,일반의약품,[07320]방역용 살균소독제,25,글루타랄콘센트레이트(글루타랄알데하이드로서 0ㆍ3그람),1,신고,20220812,취하,,20000006,2128,
30,200600800,"헤모크린액(과아세트산액)

(수출명: Hemoclean, Hemoclean G)",(주)휴온스메디텍,20060307,의약품,200600800,전문의약품,[07320]방역용 살균소독제,9,과아세트산액,1,신고,,정상,,20020013,2286,
31,200700624,스코테린액(과아세트산액0.13%),(주)휴온스메디텍,20070117,의약품,200700624,일반의약품,[07320]방역용 살균소독제,11,과아세트산액0.13%,1,신고,,정상,,20020013,2286,
32,200801715,페라스텔액(과초산4%),(주)에이치피앤씨,20080213,의약품 및 의약외품 수입업,200801715,전문의약품,[07390]기타의 공중위생용약,1,과초산 4%,1,허가,,정상,,20162735,472,
33,200802231,헤모크린씨액,(주)휴온스메디텍,20080227,의약품,200802231,전문의약품,[07320]방역용 살균소독제,12,시트르산수화물,1,허가,,정상,,20020013,2286,
34,200804324,헤모크린알피(수출명:헤모크린알피)(수출용),(주)휴온스메디텍,20080419,의약품,200804324,전문의약품,[07320]방역용 살균소독제,13,과산화수소수35%/아세트산 무수물,2,허가,,정상,,20020013,2286,
35,201002465,다네옥시10(산화에틸렌),단일시스켐(주),20100401,의약품,201002465,일반의약품,[07320]방역용 살균소독제,5,산화에칠렌,1,신고,,정상,,19870020,1686,
36,201002466,다네옥시8.6(산화에틸렌),단일시스켐(주),20100401,의약품,201002466,일반의약품,[07320]방역용 살균소독제,6,산화에칠렌,1,신고,,정상,,19870020,1686,
37,201109317,다네옥시30(산화에칠렌),단일시스켐(주),20111031,의약품,201109317,일반의약품,[07320]방역용 살균소독제,7,산화에칠렌,1,신고,,정상,,19870020,1686,
38,201201533,오피덱스액(오토프탈알데하이드),(주)퍼슨,20120309,의약품,201201533,전문의약품,[07390]기타의 공중위생용약,5006,O-프탈알데하이드,1,허가,,정상,,19570002,1338,
39,201209564,바이덱스플러스액(글루타랄콘센트레이트),(주)퍼슨,20121212,의약품,201209564,일반의약품,[07320]방역용 살균소독제,5013,글루타랄콘센트레이트/글루타랄콘센트레이트,2,신고,,정상,,19570002,1338,
40,201400052,코리아퓸2002(산화에틸렌),대덕가스(주),20140107,의약품,201400052,일반의약품,[07320]방역용 살균소독제,1,산화에틸렌,1,신고,,정상,,19980028,1995,
41,201403766,테라크린액(글루타랄농축액),(주)휴온스메디텍,20140813,의약품,201403766,일반의약품,[07320]방역용 살균소독제,44,글루타랄농축액,1,신고,,정상,,20020013,2286,
42,201500586,대한의료용산화에틸렌20%,(주)대한특수가스,20150203,의약품,201500586,일반의약품,[07320]방역용 살균소독제,3,산화에틸렌,1,신고,,정상,,20110136,337,
43,201501433,스테리스-40액(35.5%과아세트산),(주)테크노랜드,20150318,의약품 및 의약외품 수입업,201501433,전문의약품,[07390]기타의 공중위생용약,3,35.5%과아세트산,1,허가,20210731,폐업,,20162978,564,
44,201507982,시트로린액(시트르산수화물),(주)휴온스메디텍,20151127,의약품,201507982,전문의약품,[07390]기타의 공중위생용약,140,시트르산수화물,1,허가,,정상,,20020013,2286,
45,201601386,에이치엠씨엔에프산(과탄산나트륨),(주)엠에이치헬스케어,20160309,의약품 및 의약외품 수입업,201601386,일반의약품,[07390]기타의 공중위생용약,4,과탄산나트륨,1,허가,,정상,,20162367,366,
46,201606718,오피크린액(오토프탈알데하이드),(주)휴온스메디텍,20161123,의약품,201606718,전문의약품,[07390]기타의 공중위생용약,136,O-프탈알데하이드,1,허가,,정상,,20020013,2286,
47,201607103,엔도파액(과아세트산액0.2%),(주)퍼슨,20161214,의약품,201607103,일반의약품,[07390]기타의 공중위생용약,5070,과아세트산액0.2%,1,허가,,정상,,19570002,1338,
48,201700721,멀티샷액(저농도과아세트산평형혼합물),(주)휴온스메디텍,20170210,의약품,201700721,일반의약품,[07390]기타의 공중위생용약,141,저농도과초산평형혼합물,1,허가,20220210,유효기간만료,,20020013,2286,
49,201700813,노코리즈액(과산화수소수30%),(주)엠에이치헬스케어,20170215,의약품 및 의약외품 수입업,201700813,일반의약품,[07390]기타의 공중위생용약,1,과산화수소수30%,1,허가,,정상,,20162367,366,
50,201701117,디터점스울트라액(차아염소산나트륨0.14%),주식회사이엠비제약,20170228,의약품,201701117,일반의약품,[07390]기타의 공중위생용약,1,차아염소산나트륨0.14%액,1,허가,,정상,,20170007,362,
51,201702267,아이달플러스액(글루타랄농축액),(주)엠에이치헬스케어,20170501,의약품 및 의약외품 수입업,201702267,일반의약품,[07320]방역용 살균소독제,2,글루타랄농축액,1,신고,20220501,유효기간만료,,20162367,366,
52,201708092,비케이솔씨액(시트르산수화물),(주)퍼슨,20171127,의약품,201708092,전문의약품,[07390]기타의 공중위생용약,5079,시트르산수화물,1,신고,,정상,,19570002,1338,
53,201708248,디터점스오피에이액0.55%(오토프탈알데하이드),주식회사이엠비제약,20171206,의약품,201708248,전문의약품,[07390]기타의 공중위생용약,2,O-프탈알데하이드,1,허가,,정상,,20170007,362,
54,201708524,페라플루디액(과아세트산액0.2%),주식회사 밸리,20171222,의약품,201708524,일반의약품,[07390]기타의 공중위생용약,4,과아세트산액0.2%/과아세트산액0.2%,2,신고,,정상,,20173162,93,
55,201800783,크린세이프피에이액(과아세트산액),(주)퍼슨,20180209,의약품,201800783,전문의약품,[07320]방역용 살균소독제,5080,과아세트산 액,1,허가,,정상,,19570002,1338,
56,201801009,스코테린플러스액(과아세트산액),(주)휴온스메디텍,20180228,의약품,201801009,일반의약품,[07390]기타의 공중위생용약,151,과아세트산액0.21%,1,허가,,정상,,20020013,2286,
57,201801647,스코싱글액(고농도과아세트산평형혼합물),(주)휴온스메디텍,20180416,의약품,201801647,일반의약품,[07390]기타의 공중위생용약,152,고농도과아세트산평형혼합물,1,허가,,정상,,20020013,2286,
58,201802533,에이치아이엠메디액(과아세트산4%) ,주식회사삼현제약,20180619,의약품,201802533,전문의약품,[07390]기타의 공중위생용약,1,과아세트산4%,1,신고,,정상,,20181635,370,
59,201803897,디터점스피에이에이액(과아세트산 0.2%),주식회사이엠비제약,20181002,의약품,201803897,일반의약품,[07390]기타의 공중위생용약,3,과아세트산액0.2%,1,신고,20200521,행정(취소),,20170007,362,
60,201901724,페라시드액(저농도과아세트산평형혼합물),(주)퍼슨,20190322,의약품,201901724,일반의약품,[07390]기타의 공중위생용약,5090,저농도과아세트산평형혼합물,1,신고,,정상,,19570002,1338,
61,201901806,트리스텔 스포리와입스앤폼,(주)에이치피앤씨,20190326,의약품 및 의약외품 수입업,201901806,전문의약품,[07390]기타의 공중위생용약,7,시트르산수화물/아염소산나트륨(25%),2,허가,,정상,,20162735,472,
62,201902289,페라시드디액(저농도과초산평형혼합물),(주)퍼슨,20190415,의약품,201902289,일반의약품,[07390]기타의 공중위생용약,5091,저농도과초산평형혼합물,1,신고,,정상,,19570002,1338,
63,201902314,에이치아이엠에스피에이액(고농도아세트산평형혼합물),주식회사삼현제약,20190416,의약품,201902314,일반의약품,[07390]기타의 공중위생용약,2,고농도아세트산평형혼합물,1,신고,,정상,,20181635,370,
64,201903837,감마덱스액(차아염소산나트륨0.14%),주식회사다나제약,20190612,의약품,201903837,일반의약품,[07390]기타의 공중위생용약,1,차아염소산나트륨0.14%액,1,신고,,정상,,20191446,375,
65,201908039,디터점스피에이디액(과아세트산1.73%),주식회사이엠비제약,20191122,의약품,201908039,전문의약품,[07320]방역용 살균소독제,5,과아세트산액1.73%,1,허가,,정상,,20170007,362,
66,202000763,트루피에이에이액(과아세트산0.2%),(주)삼마제약,20200210,의약품,202000763,일반의약품,[07390]기타의 공중위생용약,1,과아세트산액0.2%,1,신고,20211019,폐업,,20192131,376,
67,202001231,세이프오피에이액(오토프탈알데하이드),주식회사 밸리,20200220,의약품,202001231,전문의약품,[07390]기타의 공중위생용약,3,O-프탈알데하이드,1,허가,,정상,,20173162,93,
68,202003792,헤모크린비액(과아세트산),(주)휴온스메디텍,20200525,의약품,202003792,전문의약품,[07320]방역용 살균소독제,179,과아세트산 액,1,허가,,정상,,20020013,2286,
69,202005023,그린오피에이액(오토프탈알데하이드),(주)그린제약,20200713,의약품,202005023,전문의약품,[07390]기타의 공중위생용약,5030,o-프탈알데히드,1,허가,,정상,,19940041,1851,
70,202102233,릴라이온페라세이프산(과탄산나트륨),(주)나노팜,20210310,의약품 및 의약외품 수입업,202102233,일반의약품,[07390]기타의 공중위생용약,41,과탄산나트륨,1,허가,,정상,,20162107,313,
71,202103785,트리스텔듀오폼,(주)에이치피앤씨,20210511,의약품 및 의약외품 수입업,202103785,전문의약품,[07390]기타의 공중위생용약,8,시트르산수화물/아염소산나트륨25%,2,허가,,정상,,20162735,472,
72,202105124,스테리그린액(과산화수소수35%),(주)휴온스메디텍,20210707,의약품,202105124,일반의약품,[07390]기타의 공중위생용약,187,과산화수소수35%,1,허가,,정상,,20020013,2286,
73,202106663,조양피에이에이15액(과아세트산액),(주)조양메디칼인더스트리,20210927,의약품 및 의약외품 수입업,202106663,일반의약품,[07390]기타의 공중위생용약,1,과아세트산액,1,허가,,정상,,2021013616,952,
74,202107240,스테리솔에프액(과산화수소수35%),(주)퍼슨,20211101,의약품,202107240,일반의약품,[07390]기타의 공중위생용약,5141,과산화수소수35%,1,신고,,정상,,19570002,1338,
75,202107876,페라스텔멀티샷액(과아세트산4%),(주)에이치피앤씨,20211210,의약품,202107876,전문의약품,[07390]기타의 공중위생용약,1,과아세트산4%,1,신고,,정상,,2021016415,6170,
76,202200290,위크린피에이액(고농도아세트산평형혼합물),주식회사위지피제약,20220118,의약품,202200290,일반의약품,[07390]기타의 공중위생용약,1,고농도아세트산평형혼합물,1,신고,,정상,,2021016349,6168,
77,202203976,페라스텔에이치액(저농도과아세트산평형혼합물),(주)에이치피앤씨,20221102,의약품,202203976,일반의약품,[07390]기타의 공중위생용약,2,저농도과초산평형혼합물,1,신고,,정상,,2021016415,6170,
78,202204543,페라스텔원샷액(과아세트산액),(주)에이치피앤씨,20221220,의약품,202204543,일반의약품,[07390]기타의 공중위생용약,3,과아세트산액,1,신고,,정상,,2021016415,6170,
